년도,구,나이,지체,시각,청각,언어,지적,뇌병변,자폐성,정신,신장,심장,호흡기,간,안면,장루.요루,뇌전증
2019,강남구,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2019,강남구,2,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0
2019,강남구,3,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0
2019,강남구,4,1,0,0,6,2,5,2,0,0,0,0,0,0,0,0
2019,강남구,5,0,0,0,3,11,10,11,0,1,0,0,0,0,0,0
2019,강남구,6,1,0,1,4,10,5,17,0,0,0,0,1,0,0,2
2019,강남구,7,1,1,3,7,12,9,19,0,1,0,0,0,0,0,0
2019,강남구,8,0,2,0,1,10,2,24,0,0,0,0,0,0,0,0
2019,강남구,9,1,1,1,2,17,5,30,0,0,0,0,0,0,0,0
2019,강남구,10,1,1,7,0,12,4,16,0,0,0,0,0,0,0,0
2019,강남구,11,2,1,2,0,9,6,35,0,0,0,0,0,0,0,0
2019,강남구,12,2,1,1,1,14,9,20,0,0,0,0,0,0,0,0
2019,강남구,13,2,2,1,0,19,6,13,0,0,0,0,0,0,0,0
2019,강남구,14,1,1,1,0,21,5,16,0,0,0,0,0,0,0,0
2019,강남구,15,8,1,3,0,21,3,17,0,0,0,1,1,0,0,0
2019,강남구,16,4,1,2,1,23,4,14,0,0,0,0,2,0,0,0
2019,강남구,17,5,1,4,1,21,1,19,0,0,0,0,0,0,0,0
2019,강남구,18,6,4,3,0,20,6,15,0,0,1,0,2,0,0,1
2019,강남구,19,3,4,4,0,26,4,18,0,1,1,0,1,0,0,0
2019,강남구,20,6,7,2,0,17,3,18,0,2,0,0,0,0,0,0
2019,강남구,21,6,3,3,0,28,3,34,0,1,0,0,0,0,0,0
2019,강남구,22,11,1,2,0,30,4,13,4,1,1,0,0,0,0,0
2019,강남구,23,8,2,4,0,27,4,19,1,0,0,0,0,0,0,0
2019,강남구,24,11,6,4,0,26,2,16,1,3,0,0,1,0,0,0
2019,강남구,25,9,4,3,0,26,3,23,2,2,0,0,0,1,0,0
2019,강남구,26,12,5,5,0,21,7,19,3,1,1,0,0,0,0,0
2019,강남구,27,15,7,3,0,27,7,21,2,0,0,0,0,0,0,2
2019,강남구,28,15,6,2,0,24,4,22,3,3,0,1,0,1,0,0
2019,강남구,29,25,11,2,0,17,8,23,3,2,0,0,0,0,0,0
2019,강남구,30,17,5,6,0,17,4,7,4,1,0,0,0,0,0,0
2019,강남구,31,25,9,7,0,20,6,11,5,2,0,0,0,0,0,2
2019,강남구,32,17,2,5,2,16,1,12,0,1,0,0,0,0,0,0
2019,강남구,33,19,14,6,1,17,6,11,5,3,0,0,0,0,0,0
2019,강남구,34,36,13,5,1,17,5,8,4,4,0,0,1,0,0,0
2019,강남구,35,34,9,3,1,18,4,2,6,6,0,0,0,0,0,0
2019,강남구,36,46,12,3,0,22,6,7,7,2,1,1,1,0,0,1
2019,강남구,37,56,11,7,0,18,6,4,6,2,0,0,0,1,0,0
2019,강남구,38,51,14,6,2,27,3,3,12,4,2,0,1,0,0,0
2019,강남구,39,45,13,5,1,15,8,0,16,6,0,0,0,0,0,0
2019,강남구,40,47,15,10,0,17,11,1,9,9,0,0,2,0,0,0
2019,강남구,41,47,23,4,0,11,10,1,9,9,0,0,2,0,0,0
2019,강남구,42,57,14,2,3,15,8,4,9,6,0,1,0,0,1,0
2019,강남구,43,63,20,1,1,17,5,1,17,8,0,1,1,0,0,0
2019,강남구,44,56,11,6,1,12,7,0,12,6,0,0,0,1,1,1
2019,강남구,45,65,19,8,2,13,15,1,17,5,0,1,1,0,1,2
2019,강남구,46,61,17,5,1,21,10,1,24,10,0,1,2,1,1,0
2019,강남구,47,73,24,11,0,13,9,0,19,11,0,1,1,0,0,1
2019,강남구,48,72,19,10,3,19,16,1,31,13,0,0,1,0,0,2
2019,강남구,49,100,22,6,2,9,12,0,23,14,1,2,3,0,2,1
2019,강남구,50,89,33,6,2,7,15,1,36,17,2,0,3,0,3,1
2019,강남구,51,104,29,12,0,13,15,0,31,13,0,1,0,0,0,2
2019,강남구,52,109,22,14,2,5,14,0,28,7,0,0,2,1,0,1
2019,강남구,53,112,24,10,0,7,19,1,7,17,1,2,5,0,1,1
2019,강남구,54,111,24,13,1,10,23,0,25,16,1,2,3,0,0,1
2019,강남구,55,118,23,8,1,10,26,0,26,13,1,1,4,0,1,0
2019,강남구,56,127,27,23,0,12,22,1,32,13,1,1,4,1,2,4
2019,강남구,57,157,28,23,1,8,15,0,27,27,1,1,4,0,1,4
2019,강남구,58,158,18,24,3,11,23,0,30,22,0,1,6,0,2,1
2019,강남구,59,155,34,16,2,14,40,0,38,20,0,2,5,2,2,2
2019,강남구,60,139,30,23,3,10,34,0,38,29,1,2,5,0,1,4
2019,강남구,61,163,37,22,4,13,40,0,28,25,2,2,5,0,0,4
2019,강남구,62,161,41,29,3,12,40,0,34,29,0,2,4,1,2,2
2019,강남구,63,157,39,26,2,15,44,0,26,30,2,3,5,4,2,1
2019,강남구,64,188,41,41,7,8,47,0,31,26,1,4,5,0,0,3
2019,강남구,65,167,36,35,6,6,39,0,19,35,3,4,6,0,1,2
2019,강남구,66,156,32,26,0,4,47,0,28,31,0,5,3,0,3,3
2019,강남구,67,172,34,42,5,5,53,0,17,19,1,5,8,0,1,3
2019,강남구,68,147,31,24,1,5,34,0,6,22,2,2,2,0,2,2
2019,강남구,69,152,30,25,2,1,46,0,11,20,2,4,4,0,2,0
2019,강남구,70,149,36,39,4,4,50,0,7,23,3,6,4,1,4,1
2019,강남구,71,188,46,50,3,0,60,0,10,22,0,5,3,1,7,0
2019,강남구,72,165,39,47,3,4,53,0,16,17,1,6,7,0,2,0
