년도,시,구,뇌전증,안면,지체,시각,청각,지적,간,장루요루,심장,정신,언어,뇌병변,신장,호흡기,자폐성,뇌전증수검률,안면수검률,지체수검률,시각수검률,청각수검률,지적수검률,간수검률,장루요루수검률,심장수검률,정신수검률,언어수검률,뇌병변수검률,신장수검률,호흡기수검률,자폐성수검률
2019,서울특별시,강북구,10,5,2483,561,613,150,18,28,7,71,20,244,94,10,13,83.33,83.33,73.07,69,68.8,63.03,62.07,60.87,58.33,57.72,54.05,45.69,43.52,43.48,39.39
2019,서울특별시, 광진구 ,7,4,"1,906.00",407,410,117,20,19,7,58,26,216,74,15,15,70,66.67,70.7,70.91,62.79,53.18,64.52,45.24,58.33,47.15,66.67,48.32,39.15,75,40.54
2019,서울특별시, 노원구 ,13,9,"3,624.00",741,744,194,29,37,36,87,49,385,137,13,21,72.22,75,73.78,70.64,67.09,50.13,56.86,50.68,87.8,52.41,67.12,46.72,49.28,50,37.5
2019,서울특별시, 도봉구 ,8,5,"2,432.00",500,538,164,18,27,7,61,18,282,104,13,26,80,83.33,74.83,71.12,67.17,60.52,51.43,52.94,53.85,50.41,64.29,48.37,49.29,61.9,61.9
2019,서울특별시, 동대문구 ,10,6,"2,478.00",436,522,114,21,24,10,75,19,227,96,11,17,58.82,100,72.1,68.88,66.16,51.58,55.26,52.17,76.92,48.7,59.38,43.16,46.6,37.93,56.67
2019,서울특별시, 마포구 ,6,3,"1,861.00",423,446,111,13,24,6,64,19,163,73,11,15,46.15,50,69.75,68.78,60.85,52.11,52,57.14,60,57.66,61.29,39.18,40.11,57.89,37.5
2019,서울특별시, 서대문구 ,6,3,"1,847.00",378,445,117,21,19,7,60,16,198,103,14,13,66.67,75,73,70.52,62.32,56.52,55.26,51.35,70,53.57,43.24,40.16,48.13,73.68,54.17
2019,서울특별시, 서울북부 ,119,70,"29,897.00","6,284.00","6,692.00","1,778.00",271,297,131,876,316,"2,955.00","1,173.00",177,223,68.79,80.46,72.43,69.43,65.05,56.28,56.69,53.61,70.81,52.52,60.08,44.31,44.15,56.01,46.65
2019,서울특별시, 서울시 ,219,129,"57,105.00","12,269.00","13,034.00","3,626.00",549,564,247,"1,596.00",620,"5,735.00","2,362.00",359,559,68.87,77.71,72.46,70.3,65.42,57.63,56.42,54.7,65.87,52.23,60.9,44.35,44.02,57.62,46.01
2019,서울특별시, 성동구 ,11,5,"1,760.00",368,402,104,20,15,13,47,17,177,67,23,15,78.57,100,69.98,69.57,66.67,60.47,57.14,45.45,100,49.47,48.57,44.47,44.08,60.53,50
2019,서울특별시, 성북구 ,10,7,"2,625.00",508,566,132,23,27,3,74,33,229,101,13,24,66.67,87.5,72.33,66.49,63.45,49.25,54.76,77.14,37.5,52.48,68.75,40.97,40.4,56.52,60
2019,서울특별시, 용산구 ,3,3,985,262,235,80,10,8,5,30,13,89,33,5,3,60,100,65.19,63.59,55.95,56.34,41.67,36.36,71.43,44.12,61.9,37.55,32.35,35.71,23.08
2019,서울특별시, 은평구 ,10,9,"3,191.00",724,828,215,38,33,8,92,38,282,96,21,28,71.43,69.23,76.47,71.12,69.29,61.96,62.3,57.89,47.06,51.98,60.32,45.85,38.25,55.26,53.85
2019,서울특별시, 종로구 ,7,3,781,176,174,60,6,5,5,28,8,73,25,3,8,63.64,100,66.98,66.67,55.95,58.25,42.86,41.67,83.33,50,44.44,37.06,35.21,60,36.36
2019,서울특별시, 중구 ,5,3,715,206,177,43,9,7,2,26,7,73,38,1,5,71.43,100,64.65,67.1,61.67,57.33,69.23,53.85,100,50.98,77.78,40.33,53.52,33.33,31.25
2019,서울특별시, 중랑구 ,13,5,"3,209.00",594,592,177,25,24,15,103,33,317,132,24,20,72.22,83.33,74.91,71.22,66.59,60,59.52,53.33,71.43,60.59,60,48.1,50,63.16,46.51
