년도,구,나이,지체,청각,시각,뇌병변,지적,정신,신장,자폐성,언어,장루.요루,호흡기,간,뇌전증,심장,안면
2019,강남구,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2019,강남구,2,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0
2019,강남구,3,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0
2019,강남구,4,1,0,0,5,2,0,0,2,6,0,0,0,0,0,0
2019,강남구,5,0,0,0,10,11,0,1,11,3,0,0,0,0,0,0
2019,강남구,6,1,1,0,5,10,0,0,17,4,0,0,1,2,0,0
2019,강남구,7,1,3,1,9,12,0,1,19,7,0,0,0,0,0,0
2019,강남구,8,0,0,2,2,10,0,0,24,1,0,0,0,0,0,0
2019,강남구,9,1,1,1,5,17,0,0,30,2,0,0,0,0,0,0
2019,강남구,10,1,7,1,4,12,0,0,16,0,0,0,0,0,0,0
2019,강남구,11,2,2,1,6,9,0,0,35,0,0,0,0,0,0,0
2019,강남구,12,2,1,1,9,14,0,0,20,1,0,0,0,0,0,0
2019,강남구,13,2,1,2,6,19,0,0,13,0,0,0,0,0,0,0
2019,강남구,14,1,1,1,5,21,0,0,16,0,0,0,0,0,0,0
2019,강남구,15,8,3,1,3,21,0,0,17,0,0,1,1,0,0,0
2019,강남구,16,4,2,1,4,23,0,0,14,1,0,0,2,0,0,0
2019,강남구,17,5,4,1,1,21,0,0,19,1,0,0,0,0,0,0
2019,강남구,18,6,3,4,6,20,0,0,15,0,0,0,2,1,1,0
2019,강남구,19,3,4,4,4,26,0,1,18,0,0,0,1,0,1,0
2019,강남구,20,6,2,7,3,17,0,2,18,0,0,0,0,0,0,0
2019,강남구,21,6,3,3,3,28,0,1,34,0,0,0,0,0,0,0
2019,강남구,22,11,2,1,4,30,4,1,13,0,0,0,0,0,1,0
2019,강남구,23,8,4,2,4,27,1,0,19,0,0,0,0,0,0,0
2019,강남구,24,11,4,6,2,26,1,3,16,0,0,0,1,0,0,0
2019,강남구,25,9,3,4,3,26,2,2,23,0,0,0,0,0,0,1
2019,강남구,26,12,5,5,7,21,3,1,19,0,0,0,0,0,1,0
2019,강남구,27,15,3,7,7,27,2,0,21,0,0,0,0,2,0,0
2019,강남구,28,15,2,6,4,24,3,3,22,0,0,1,0,0,0,1
2019,강남구,29,25,2,11,8,17,3,2,23,0,0,0,0,0,0,0
2019,강남구,30,17,6,5,4,17,4,1,7,0,0,0,0,0,0,0
